Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
252-56-2699;A;Yangon;Normal;Male;Food and beverages;43.19;10;21.595;453.495;02.07.2019;16:48;Ewallet;431.9;4.761.904.762;21.595;08.Þub
829-34-3910;A;Yangon;Normal;Female;Health and beauty;71.38;10;35.69;749.49;3/29/2019;19:21;Cash;713.8;4.761.904.762;35.69;05.Tem
299-46-1805;B;Mandalay;Member;Female;Sports and travel;93.72;6;28.116;590.436;1/15/2019;16:19;Cash;562.32;4.761.904.762;28.116;04.May
656-95-9349;A;Yangon;Member;Female;Health and beauty;68.93;7;241.255;5.066.355;03.11.2019;11:03;Credit card;482.51;4.761.904.762;241.255;04.Haz
765-26-6951;A;Yangon;Normal;Male;Sports and travel;72.61;6;21.783;457.443;01.01.2019;10:39;Credit card;435.66;4.761.904.762;21.783;06.Eyl
329-62-1586;A;Yangon;Normal;Male;Food and beverages;54.67;3;82.005;1.722.105;1/21/2019;18:00;Credit card;164.01;4.761.904.762;82.005;08.Haz
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;86.04;5;21.51;451.71;2/25/2019;11:24;Ewallet;430.2;4.761.904.762;21.51;04.Aðu
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;87.98;3;13.197;277.137;03.05.2019;10:40;Ewallet;263.94;4.761.904.762;13.197;05.Oca
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;52.59;8;21.036;441.756;3/22/2019;19:20;Credit card;420.72;4.761.904.762;21.036;08.May
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;33.52;1;1.676;35.196;02.08.2019;15:31;Cash;33.52;4.761.904.762;1.676;06.Tem
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87.67;2;8.767;184.107;03.10.2019;12:17;Credit card;175.34;4.761.904.762;8.767;07.Tem
848-62-7243;A;Yangon;Normal;Male;Health and beauty;24.89;9;112.005;2.352.105;3/15/2019;15:36;Cash;224.01;4.761.904.762;112.005;07.Nis
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;94.13;5;235.325;4.941.825;2/25/2019;19:39;Credit card;470.65;4.761.904.762;235.325;04.Aðu
149-71-6266;B;Mandalay;Member;Male;Sports and travel;78.07;9;351.315;7.377.615;1/28/2019;12:43;Cash;702.63;4.761.904.762;351.315;04.May
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;83.78;8;33.512;703.752;01.10.2019;14:49;Cash;670.24;4.761.904.762;33.512;05.Oca
595-11-5460;A;Yangon;Normal;Male;Health and beauty;96.58;2;9.658;202.818;3/15/2019;10:12;Credit card;193.16;4.761.904.762;9.658;05.Oca
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;99.42;4;19.884;417.564;02.06.2019;10:42;Ewallet;397.68;4.761.904.762;19.884;07.May
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;68.12;1;3.406;71.526;01.07.2019;12:28;Ewallet;68.12;4.761.904.762;3.406;06.Aðu
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;60.88;9;27.396;575.316;1/15/2019;17:17;Ewallet;547.92;4.761.904.762;27.396;04.Tem
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;54.92;8;21.968;461.328;3/23/2019;13:24;Ewallet;439.36;4.761.904.762;21.968;07.Haz
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;86.72;1;4.336;91.056;1/17/2019;18:45;Ewallet;86.72;4.761.904.762;4.336;07.Eyl
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;56.11;2;5.611;117.831;02.02.2019;10:11;Cash;112.22;4.761.904.762;5.611;06.Mar
354-25-5821;B;Mandalay;Member;Female;Sports and travel;69.12;6;20.736;435.456;02.08.2019;13:03;Cash;414.72;4.761.904.762;20.736;05.Haz
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;98.7;8;39.48;829.08;03.04.2019;20:39;Cash;789.6;4.761.904.762;39.48;07.Haz
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;15.37;2;1.537;32.277;3/16/2019;19:47;Cash;30.74;4.761.904.762;1.537;07.Þub
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93.96;4;18.792;394.632;03.09.2019;18:00;Cash;375.84;4.761.904.762;18.792;09.May
370-41-7321;B;Mandalay;Member;Male;Health and beauty;56.69;9;255.105;5.357.205;2/27/2019;17:24;Credit card;510.21;4.761.904.762;255.105;08.Nis
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;18.93;6;5.679;119.259;02.10.2019;12:45;Credit card;113.58;4.761.904.762;5.679;08.Oca
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41.315;867.615;3/19/2019;17:08;Ewallet;826.3;4.761.904.762;41.315;07.Eyl
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;91.4;7;31.99;671.79;02.03.2019;10:19;Cash;639.8;4.761.904.762;31.99;09.May
162-48-8011;A;Yangon;Member;Female;Food and beverages;44.59;5;111.475;2.340.975;02.10.2019;15:10;Cash;222.95;4.761.904.762;111.475;08.May
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;17.87;4;3.574;75.054;3/22/2019;14:42;Ewallet;71.48;4.761.904.762;3.574;06.May
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;15.43;1;0.7715;162.015;1/25/2019;15:46;Credit card;15.43;4.761.904.762;0.7715;06.Oca
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1.616;33.936;03.07.2019;11:49;Ewallet;32.32;4.761.904.762;1.616;06.May
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;85.98;8;34.392;722.232;2/28/2019;19:01;Cash;687.84;4.761.904.762;34.392;08.Þub
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;44.34;2;4.434;93.114;3/27/2019;11:26;Cash;88.68;4.761.904.762;4.434;05.Aðu
635-40-6220;A;Yangon;Normal;Male;Health and beauty;89.6;8;35.84;752.64;02.07.2019;11:28;Ewallet;716.8;4.761.904.762;35.84;06.Haz
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;72.35;10;36.175;759.675;1/20/2019;15:55;Cash;723.5;4.761.904.762;36.175;05.Nis
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9.183;192.843;03.12.2019;20:36;Cash;183.66;4.761.904.762;9.183;09.Mar
199-75-8169;A;Yangon;Member;Male;Sports and travel;15.81;10;7.905;166.005;03.06.2019;12:27;Credit card;158.1;4.761.904.762;7.905;08.Haz
853-23-2453;B;Mandalay;Member;Male;Health and beauty;75.74;4;15.148;318.108;2/14/2019;14:35;Cash;302.96;4.761.904.762;15.148;07.Haz
877-22-3308;A;Yangon;Member;Male;Health and beauty;15.87;10;7.935;166.635;3/13/2019;16:40;Cash;158.7;4.761.904.762;7.935;05.Aðu
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33.47;2;3.347;70.287;02.10.2019;15:43;Ewallet;66.94;4.761.904.762;3.347;06.Tem
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97.61;6;29.283;614.943;01.07.2019;15:01;Ewallet;585.66;4.761.904.762;29.283;09.Eyl
232-11-3025;A;Yangon;Normal;Male;Sports and travel;78.77;10;39.385;827.085;1/24/2019;10:04;Cash;787.7;4.761.904.762;39.385;06.Nis
382-03-4532;A;Yangon;Member;Female;Health and beauty;18.33;1;0.9165;192.465;02.02.2019;18:50;Cash;18.33;4.761.904.762;0.9165;04.Mar
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;89.48;10;44.74;939.54;01.06.2019;12:46;Credit card;894.8;4.761.904.762;44.74;09.Haz
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62.12;10;31.06;652.26;02.11.2019;16:19;Cash;621.2;4.761.904.762;31.06;05.Eyl
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;75.91;6;22.773;478.233;03.09.2019;18:21;Cash;455.46;4.761.904.762;22.773;08.Tem
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;74.67;9;336.015;7.056.315;1/22/2019;10:55;Ewallet;672.03;4.761.904.762;336.015;09.Nis
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41.65;10;20.825;437.325;1/13/2019;17:04;Credit card;416.5;4.761.904.762;20.825;05.Nis
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;49.04;9;22.068;463.428;01.09.2019;14:20;Credit card;441.36;4.761.904.762;22.068;08.Haz
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;78.31;10;39.155;822.255;03.05.2019;16:24;Ewallet;783.1;4.761.904.762;39.155;06.Haz
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;99.19;6;29.757;624.897;1/21/2019;14:42;Credit card;595.14;4.761.904.762;29.757;05.May
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;96.68;3;14.502;304.542;1/26/2019;19:56;Ewallet;290.04;4.761.904.762;14.502;06.Nis
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;80.36;4;16.072;337.512;2/23/2019;18:45;Credit card;321.44;4.761.904.762;16.072;08.Mar
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;48.91;5;122.275;2.567.775;03.09.2019;10:17;Cash;244.55;4.761.904.762;122.275;06.Haz
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;76.52;5;19.13;401.73;3/25/2019;10:23;Cash;382.6;4.761.904.762;19.13;09.Eyl
633-44-8566;A;Yangon;Member;Male;Food and beverages;49.38;7;17.283;362.943;3/27/2019;20:35;Credit card;345.66;4.761.904.762;17.283;07.Mar
504-35-8843;A;Yangon;Normal;Male;Sports and travel;42.47;1;21.235;445.935;01.02.2019;16:57;Cash;42.47;4.761.904.762;21.235;05.Tem
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;76.99;6;23.097;485.037;2/27/2019;17:55;Cash;461.94;4.761.904.762;23.097;06.Oca
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;47.38;4;9.476;198.996;1/23/2019;10:25;Cash;189.52;4.761.904.762;9.476;07.Oca
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;44.86;10;22.43;471.03;1/26/2019;19:54;Ewallet;448.6;4.761.904.762;22.43;08.Þub
873-51-0671;A;Yangon;Member;Female;Sports and travel;21.98;7;7.693;161.553;01.10.2019;16:42;Ewallet;153.86;4.761.904.762;7.693;05.Oca
152-08-9985;B;Mandalay;Member;Male;Health and beauty;64.36;9;28.962;608.202;03.12.2019;12:09;Credit card;579.24;4.761.904.762;28.962;08.Haz
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;89.75;1;44.875;942.375;02.06.2019;20:05;Credit card;89.75;4.761.904.762;44.875;06.Haz
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;97.16;1;4.858;102.018;03.08.2019;20:38;Ewallet;97.16;4.761.904.762;4.858;07.Þub
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87.87;10;43.935;922.635;3/29/2019;10:25;Ewallet;878.7;4.761.904.762;43.935;05.Oca
865-92-6136;A;Yangon;Normal;Male;Food and beverages;52.75;3;79.125;1.661.625;3/23/2019;10:16;Ewallet;158.25;4.761.904.762;79.125;09.Mar
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;82.7;6;24.81;521.01;03.05.2019;18:14;Cash;496.2;4.761.904.762;24.81;07.Nis
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;48.71;1;24.355;511.455;3/26/2019;19:20;Cash;48.71;4.761.904.762;24.355;04.Oca
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78.55;9;353.475;7.422.975;03.01.2019;13:22;Cash;706.95;4.761.904.762;353.475;07.Þub
212-62-1842;A;Yangon;Normal;Male;Food and beverages;58.26;6;17.478;367.038;3/28/2019;16:44;Cash;349.56;4.761.904.762;17.478;09.Eyl
704-48-3927;A;Yangon;Member;Male;Electronic accessories;88.67;10;44.335;931.035;01.12.2019;14:50;Ewallet;886.7;4.761.904.762;44.335;07.Mar
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;27.38;6;8.214;172.494;01.05.2019;20:54;Credit card;164.28;4.761.904.762;8.214;07.Eyl
630-74-5166;A;Yangon;Normal;Male;Sports and travel;62.13;6;18.639;391.419;3/22/2019;20:19;Cash;372.78;4.761.904.762;18.639;07.Nis
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;33.98;9;15.291;321.111;3/24/2019;10:43;Cash;305.82;4.761.904.762;15.291;04.Þub
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;81.97;10;40.985;860.685;03.03.2019;14:30;Cash;819.7;4.761.904.762;40.985;09.Þub
479-26-8945;B;Mandalay;Member;Female;Sports and travel;16.49;2;1.649;34.629;02.05.2019;11:32;Ewallet;32.98;4.761.904.762;1.649;04.Haz
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;98.21;3;147.315;3.093.615;02.05.2019;10:41;Credit card;294.63;4.761.904.762;147.315;07.Aðu
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;72.84;7;25.494;535.374;2/15/2019;12:44;Cash;509.88;4.761.904.762;25.494;08.Nis
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;58.07;9;261.315;5.487.615;1/19/2019;20:07;Ewallet;522.63;4.761.904.762;261.315;04.Mar
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;80.79;9;363.555;7.634.655;02.01.2019;20:31;Credit card;727.11;4.761.904.762;363.555;09.May
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;21.94;5;5.485;115.185;03.05.2019;12:29;Ewallet;109.7;4.761.904.762;5.485;05.Mar
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;51.36;1;2.568;53.928;1/16/2019;15:26;Ewallet;51.36;4.761.904.762;2.568;05.Þub
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;53.44;2;5.344;112.224;1/20/2019;20:38;Ewallet;106.88;4.761.904.762;5.344;04.Oca
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;99.56;8;39.824;836.304;2/14/2019;17:03;Credit card;796.48;4.761.904.762;39.824;05.Þub
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;57.12;7;19.992;419.832;01.12.2019;12:02;Credit card;399.84;4.761.904.762;19.992;06.May
219-22-9386;B;Mandalay;Member;Male;Sports and travel;99.96;9;44.982;944.622;03.09.2019;17:26;Credit card;899.64;4.761.904.762;44.982;04.Þub
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;63.91;8;25.564;536.844;3/13/2019;19:52;Credit card;511.28;4.761.904.762;25.564;04.Haz
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;56.47;8;22.588;474.348;03.09.2019;14:57;Ewallet;451.76;4.761.904.762;22.588;07.Mar
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;93.69;7;327.915;6.886.215;03.10.2019;18:44;Credit card;655.83;4.761.904.762;327.915;04.May
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;31.73;9;142.785;2.998.485;01.08.2019;16:17;Credit card;285.57;4.761.904.762;142.785;05.Eyl
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;68.54;8;27.416;575.736;01.08.2019;15:57;Ewallet;548.32;4.761.904.762;27.416;08.May
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;90.28;9;40.626;853.146;02.08.2019;11:15;Ewallet;812.52;4.761.904.762;40.626;07.Þub
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;39.62;7;13.867;291.207;1/25/2019;13:18;Cash;277.34;4.761.904.762;13.867;07.May
802-70-5316;A;Yangon;Member;Female;Sports and travel;92.13;6;27.639;580.419;03.06.2019;20:34;Cash;552.78;4.761.904.762;27.639;08.Mar
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;34.84;4;6.968;146.328;02.10.2019;18:36;Cash;139.36;4.761.904.762;6.968;07.Nis
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;87.45;6;26.235;550.935;2/17/2019;14:40;Credit card;524.7;4.761.904.762;26.235;08.Aðu
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;81.3;6;24.39;512.19;03.08.2019;16:43;Ewallet;487.8;4.761.904.762;24.39;05.Mar
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;90.22;3;13.533;284.193;2/18/2019;19:39;Cash;270.66;4.761.904.762;13.533;06.Þub
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;26.31;5;65.775;1.381.275;1/18/2019;20:59;Credit card;131.55;4.761.904.762;65.775;08.Aðu
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;34.42;6;10.326;216.846;2/18/2019;15:39;Cash;206.52;4.761.904.762;10.326;09.Aðu
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;51.91;10;25.955;545.055;2/16/2019;12:21;Cash;519.1;4.761.904.762;25.955;08.Þub
575-30-8091;A;Yangon;Normal;Male;Sports and travel;72.5;8;29;609;3/16/2019;19:25;Ewallet;580;4.761.904.762;29;09.Þub
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;89.8;10;44.9;942.9;1/23/2019;13:00;Credit card;898;4.761.904.762;44.9;05.Nis
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;90.5;10;45.25;950.25;1/25/2019;13:48;Cash;905;4.761.904.762;45.25;08.Oca
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;68.6;10;34.3;720.3;02.05.2019;19:57;Cash;686;4.761.904.762;34.3;09.Oca
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;30.41;1;15.205;319.305;2/22/2019;10:36;Credit card;30.41;4.761.904.762;15.205;08.Nis
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;46.26;6;13.878;291.438;03.08.2019;17:11;Credit card;277.56;4.761.904.762;13.878;09.May
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;66.14;4;13.228;277.788;3/19/2019;12:46;Credit card;264.56;4.761.904.762;13.228;05.Haz
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;71.86;8;28.744;603.624;03.06.2019;15:07;Credit card;574.88;4.761.904.762;28.744;06.Þub
238-49-0436;A;Yangon;Normal;Male;Health and beauty;32.46;8;12.984;272.664;3/27/2019;13:48;Credit card;259.68;4.761.904.762;12.984;04.Eyl
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;91.54;4;18.308;384.468;3/23/2019;19:20;Credit card;366.16;4.761.904.762;18.308;04.Aðu
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;34.56;7;12.096;254.016;03.11.2019;16:07;Credit card;241.92;4.761.904.762;12.096;07.Mar
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;83.24;9;37.458;786.618;1/29/2019;11:56;Credit card;749.16;4.761.904.762;37.458;07.Nis
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages;16.48;6;4.944;103.824;02.07.2019;18:23;Ewallet;98.88;4.761.904.762;4.944;09.Eyl
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel;80.97;8;32.388;680.148;1/28/2019;13:05;Cash;647.76;4.761.904.762;32.388;09.Mar
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;72.17;1;36.085;757.785;01.04.2019;19:40;Cash;72.17;4.761.904.762;36.085;06.Oca
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;43.18;8;17.272;362.712;1/19/2019;19:39;Credit card;345.44;4.761.904.762;17.272;08.Mar
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;39.9;10;19.95;418.95;2/20/2019;15:24;Credit card;399;4.761.904.762;19.95;05.Eyl
505-02-0892;B;Mandalay;Member;Male;Health and beauty;42.57;8;17.028;357.588;2/25/2019;14:12;Ewallet;340.56;4.761.904.762;17.028;05.Haz
234-65-2137;C;Naypyitaw;Normal;Male;Home and lifestyle;95.58;10;47.79;1003.59;1/16/2019;13:32;Cash;955.8;4.761.904.762;47.79;04.Aðu
687-47-8271;A;Yangon;Normal;Male;Fashion accessories;98.98;10;49.49;1039.29;02.08.2019;16:20;Credit card;989.8;4.761.904.762;49.49;08.Tem
796-32-9050;A;Yangon;Normal;Male;Food and beverages;51.28;6;15.384;323.064;1/19/2019;16:31;Cash;307.68;4.761.904.762;15.384;06.May
105-31-1824;A;Yangon;Member;Male;Sports and travel;69.52;7;24.332;510.972;02.01.2019;15:10;Credit card;486.64;4.761.904.762;24.332;08.May
249-42-3782;A;Yangon;Normal;Male;Health and beauty;70.01;5;175.025;3.675.525;01.03.2019;11:36;Ewallet;350.05;4.761.904.762;175.025;05.May
316-55-4634;B;Mandalay;Member;Male;Food and beverages;80.05;5;200.125;4.202.625;1/26/2019;12:45;Credit card;400.25;4.761.904.762;200.125;09.Nis
608-27-6295;B;Mandalay;Member;Male;Electronic accessories;52.89;6;15.867;333.207;1/19/2019;17:34;Credit card;317.34;4.761.904.762;15.867;09.Aðu
414-12-7047;B;Mandalay;Normal;Male;Food and beverages;19.79;8;7.916;166.236;1/18/2019;12:04;Ewallet;158.32;4.761.904.762;7.916;08.Tem
827-26-2100;A;Yangon;Member;Male;Home and lifestyle;33.84;9;15.228;319.788;3/21/2019;16:21;Ewallet;304.56;4.761.904.762;15.228;08.Aðu
175-54-2529;A;Yangon;Member;Male;Food and beverages;22.17;8;8.868;186.228;03.03.2019;17:01;Credit card;177.36;4.761.904.762;8.868;09.Haz
139-52-2867;C;Naypyitaw;Normal;Female;Fashion accessories;22.51;7;78.785;1.654.485;2/13/2019;10:50;Credit card;157.57;4.761.904.762;78.785;04.Aðu
407-63-8975;A;Yangon;Normal;Male;Food and beverages;73.88;6;22.164;465.444;3/23/2019;19:16;Ewallet;443.28;4.761.904.762;22.164;04.Nis
130-98-8941;C;Naypyitaw;Normal;Male;Fashion accessories;64.26;7;22.491;472.311;02.09.2019;10:00;Cash;449.82;4.761.904.762;22.491;05.Tem
434-83-9547;C;Naypyitaw;Member;Male;Food and beverages;38.47;8;15.388;323.148;1/23/2019;11:51;Cash;307.76;4.761.904.762;15.388;07.Tem
824-88-3614;C;Naypyitaw;Normal;Male;Health and beauty;34.31;8;13.724;288.204;1/25/2019;15:00;Ewallet;274.48;4.761.904.762;13.724;05.Tem
305-14-0245;B;Mandalay;Member;Female;Home and lifestyle;94.49;8;37.796;793.716;03.03.2019;19:00;Ewallet;755.92;4.761.904.762;37.796;07.May
400-60-7251;A;Yangon;Normal;Male;Home and lifestyle;74.07;1;37.035;777.735;02.10.2019;12:50;Ewallet;74.07;4.761.904.762;37.035;09.Eyl
593-65-1552;C;Naypyitaw;Normal;Female;Home and lifestyle;69.81;4;13.962;293.202;1/28/2019;20:50;Credit card;279.24;4.761.904.762;13.962;05.Eyl
284-34-9626;B;Mandalay;Normal;Female;Home and lifestyle;77.04;3;11.556;242.676;02.11.2019;10:39;Credit card;231.12;4.761.904.762;11.556;07.Þub
437-58-8131;B;Mandalay;Normal;Female;Fashion accessories;73.52;2;7.352;154.392;1/15/2019;13:41;Ewallet;147.04;4.761.904.762;7.352;04.Haz
286-43-6208;C;Naypyitaw;Normal;Female;Food and beverages;87.8;9;39.51;829.71;3/16/2019;19:08;Cash;790.2;4.761.904.762;39.51;09.Þub
831-07-6050;A;Yangon;Normal;Male;Electronic accessories;32.71;5;81.775;1.717.275;3/19/2019;11:30;Credit card;163.55;4.761.904.762;81.775;09.Eyl
856-22-8149;A;Yangon;Normal;Female;Home and lifestyle;25.29;1;12.645;265.545;3/23/2019;10:13;Ewallet;25.29;4.761.904.762;12.645;06.Oca
420-11-4919;C;Naypyitaw;Member;Female;Food and beverages;71.39;5;178.475;3.747.975;2/17/2019;19:57;Credit card;356.95;4.761.904.762;178.475;05.May
606-80-4905;C;Naypyitaw;Member;Female;Sports and travel;19.15;6;5.745;120.645;1/29/2019;10:01;Credit card;114.9;4.761.904.762;5.745;06.Aðu
542-41-0513;B;Mandalay;Member;Female;Electronic accessories;57.49;4;11.498;241.458;3/15/2019;11:57;Cash;229.96;4.761.904.762;11.498;06.Haz
426-39-2418;C;Naypyitaw;Normal;Male;Electronic accessories;61.41;7;214.935;4.513.635;1/14/2019;10:02;Cash;429.87;4.761.904.762;214.935;09.Aðu
394-43-4238;B;Mandalay;Member;Male;Home and lifestyle;17.77;5;44.425;932.925;2/15/2019;12:42;Credit card;88.85;4.761.904.762;44.425;05.Nis
672-51-8681;C;Naypyitaw;Member;Female;Electronic accessories;66.65;9;299.925;6.298.425;01.04.2019;18:19;Credit card;599.85;4.761.904.762;299.925;09.Tem
263-87-5680;C;Naypyitaw;Member;Female;Home and lifestyle;28.53;10;14.265;299.565;3/18/2019;17:38;Ewallet;285.3;4.761.904.762;14.265;07.Aðu
573-58-9734;B;Mandalay;Normal;Female;Fashion accessories;30.37;3;45.555;956.655;3/28/2019;13:41;Ewallet;91.11;4.761.904.762;45.555;05.Oca
817-69-8206;B;Mandalay;Normal;Female;Electronic accessories;99.73;9;448.785;9.424.485;03.02.2019;19:42;Credit card;897.57;4.761.904.762;448.785;06.May
888-02-0338;A;Yangon;Normal;Male;Electronic accessories;26.23;9;118.035;2.478.735;1/25/2019;20:24;Ewallet;236.07;4.761.904.762;118.035;05.Eyl
677-11-0152;C;Naypyitaw;Normal;Female;Food and beverages;93.26;9;41.967;881.307;1/16/2019;18:08;Cash;839.34;4.761.904.762;41.967;08.Aðu
656-16-1063;B;Mandalay;Normal;Male;Sports and travel;46.42;3;6.963;146.223;01.04.2019;13:24;Credit card;139.26;4.761.904.762;6.963;04.Nis
891-58-8335;B;Mandalay;Member;Female;Sports and travel;29.61;7;103.635;2.176.335;03.11.2019;15:53;Cash;207.27;4.761.904.762;103.635;06.May
